ISO3Code,Age,Pop2020,Sex
CAF,20,482771,Both
LKA,20,1495651,Both
TCD,20,1535501,Both
CHL,20,1402909,Both
CHN,20,87158167,Both
COL,20,4421466,Both
COM,20,79580,Both
COG,20,476267,Both
COD,20,7729713,Both
CRI,20,400231,Both
HRV,20,236131,Both
CUB,20,701268,Both
CYP,20,93462,Both
CZE,20,471397,Both
BEN,20,1115836,Both
DNK,20,373946,Both
DOM,20,939563,Both
ECU,20,1566534,Both
SLV,20,633084,Both
GNQ,20,138192,Both
ETH,20,11746856,Both
ERI,20,285247,Both
EST,20,58008,Both
FJI,20,71883,Both
FIN,20,313253,Both
FRA,20,3697019,Both
DJI,20,90208,Both
GAB,20,179407,Both
GEO,20,233413,Both
GMB,20,228183,Both
PSE,20,498642,Both
DEU,20,4553436,Both
GHA,20,2860336,Both
KIR,20,10897,Both
GRC,20,529416,Both
GRD,20,8699,Both
GTM,20,1802495,Both
GIN,20,1305025,Both
GUY,20,77395,Both
HTI,20,1065198,Both
HND,20,1014731,Both
HUN,20,517943,Both
ISL,20,22239,Both
IND,20,122504804,Both
IDN,20,22653270,Both
IRN,20,5556228,Both
IRQ,20,3799871,Both
IRL,20,289684,Both
ISR,20,623973,Both
ITA,20,2942506,Both
CIV,20,2538481,Both
JAM,20,261170,Both
JPN,20,5996877,Both
KAZ,20,1100046,Both
JOR,20,940151,Both
KEN,20,5236593,Both
PRK,20,1940873,Both
KOR,20,3216244,Both
KWT,20,207094,Both
KGZ,20,514389,Both
LAO,20,691999,Both
LBN,20,593172,Both
LSO,20,203923,Both
LVA,20,69531,Both
LBR,20,463072,Both
LBY,20,542181,Both
LTU,20,133645,Both
LUX,20,39835,Both
MDG,20,2675744,Both
MWI,20,1838717,Both
MYS,20,2863057,Both
MDV,20,51053,Both
MLI,20,1775973,Both
MLT,20,25050,Both
MRT,20,416127,Both
MUS,20,94111,Both
MEX,20,10939819,Both
MNG,20,228499,Both
MDA,20,241118,Both
MNE,20,41268,Both
MAR,20,2874344,Both
MOZ,20,2912557,Both
OMN,20,329057,Both
NAM,20,244311,Both
NPL,20,3221524,Both
NLD,20,1020747,Both
VUT,20,25909,Both
NZL,20,324477,Both
NIC,20,584710,Both
NER,20,2086862,Both
NGA,20,18068574,Both
NOR,20,353269,Both
FSM,20,11648,Both
PAK,20,20772274,Both
PAN,20,349063,Both
PNG,20,836809,Both
PRY,20,677788,Both
PER,20,2608093,Both
PHL,20,10104334,Both
POL,20,1965983,Both
PRT,20,539834,Both
GNB,20,180991,Both
TLS,20,129785,Both
QAT,20,237443,Both
ROU,20,1009877,Both
RUS,20,6614696,Both
RWA,20,1183561,Both
LCA,20,15870,Both
VCT,20,9290,Both
STP,20,18677,Both
SAU,20,2333131,Both
SEN,20,1519042,Both
SRB,20,529169,Both
SYC,20,6363,Both
SLE,20,754021,Both
SGP,20,397537,Both
SVK,20,290705,Both
VNM,20,6820203,Both
SVN,20,96316,Both
SOM,20,1534275,Both
ZAF,20,4924091,Both
ZWE,20,1377829,Both
ESP,20,2255909,Both
SSD,20,1062165,Both
SDN,20,4159388,Both
SUR,20,48736,Both
SWZ,20,112817,Both
SWE,20,543786,Both
CHE,20,484186,Both
SYR,20,1603500,Both
TJK,20,833803,Both
