Measure,Age,Value,Sex,Country
Deaths,50,34251,Both,China
Deaths,55,46765,Both,China
Deaths,60,57322,Both,China
Deaths,65,64455,Both,China
Deaths,70,66925,Both,China
Deaths,75,64368,Both,China
Deaths,80,63890,Both,China
Deaths,85,56288,Both,China
Deaths,90,63669,Both,China
Cases,0,304978,Both,Colombia
Cases,5,392894,Both,Colombia
Cases,10,568184,Both,Colombia
Cases,15,902741,Both,Colombia
Cases,20,1611978,Both,Colombia
Cases,25,2103937,Both,Colombia
Cases,30,2104966,Both,Colombia
Cases,35,1970078,Both,Colombia
Cases,40,1834677,Both,Colombia
Cases,45,1744550,Both,Colombia
Cases,50,1601880,Both,Colombia
Cases,55,1397704,Both,Colombia
Cases,60,1056240,Both,Colombia
Cases,65,786408,Both,Colombia
Cases,70,583227,Both,Colombia
Cases,75,428594,Both,Colombia
Cases,80,350497,Both,Colombia
Cases,85,263302,Both,Colombia
Cases,90,217188,Both,Colombia
Deaths,0,894,Both,Colombia
Deaths,5,311,Both,Colombia
Deaths,10,428,Both,Colombia
Deaths,15,767,Both,Colombia
Deaths,20,1993,Both,Colombia
Deaths,25,3347,Both,Colombia
Deaths,30,5881,Both,Colombia
Deaths,35,9267,Both,Colombia
Deaths,40,14842,Both,Colombia
Deaths,45,24111,Both,Colombia
Deaths,50,34251,Both,Colombia
Deaths,55,46765,Both,Colombia
Deaths,60,57322,Both,Colombia
Deaths,65,64455,Both,Colombia
Deaths,70,66925,Both,Colombia
Deaths,75,64368,Both,Colombia
Deaths,80,63890,Both,Colombia
Deaths,85,56288,Both,Colombia
Deaths,90,63669,Both,Colombia
Cases,0,304978,Both,Costa Rica
Cases,5,392894,Both,Costa Rica
Cases,10,568184,Both,Costa Rica
Cases,15,902741,Both,Costa Rica
Cases,20,1611978,Both,Costa Rica
Cases,25,2103937,Both,Costa Rica
Cases,30,2104966,Both,Costa Rica
Cases,35,1970078,Both,Costa Rica
Cases,40,1834677,Both,Costa Rica
Cases,45,1744550,Both,Costa Rica
Cases,50,1601880,Both,Costa Rica
Cases,55,1397704,Both,Costa Rica
Cases,60,1056240,Both,Costa Rica
Cases,65,786408,Both,Costa Rica
Cases,70,583227,Both,Costa Rica
Cases,75,428594,Both,Costa Rica
Cases,80,350497,Both,Costa Rica
Cases,85,263302,Both,Costa Rica
Cases,90,217188,Both,Costa Rica
Deaths,0,894,Both,Costa Rica
Deaths,5,311,Both,Costa Rica
Deaths,10,428,Both,Costa Rica
Deaths,15,767,Both,Costa Rica
Deaths,20,1993,Both,Costa Rica
Deaths,25,3347,Both,Costa Rica
Deaths,30,5881,Both,Costa Rica
Deaths,35,9267,Both,Costa Rica
Deaths,40,14842,Both,Costa Rica
Deaths,45,24111,Both,Costa Rica
Deaths,50,34251,Both,Costa Rica
Deaths,55,46765,Both,Costa Rica
Deaths,60,57322,Both,Costa Rica
Deaths,65,64455,Both,Costa Rica
Deaths,70,66925,Both,Costa Rica
Deaths,75,64368,Both,Costa Rica
Deaths,80,63890,Both,Costa Rica
Deaths,85,56288,Both,Costa Rica
Deaths,90,63669,Both,Costa Rica
Cases,0,304978,Both,Croatia
Cases,5,392894,Both,Croatia
Cases,10,568184,Both,Croatia
Cases,15,902741,Both,Croatia
Cases,20,1611978,Both,Croatia
Cases,25,2103937,Both,Croatia
Cases,30,2104966,Both,Croatia
Cases,35,1970078,Both,Croatia
Cases,40,1834677,Both,Croatia
Cases,45,1744550,Both,Croatia
Cases,50,1601880,Both,Croatia
Cases,55,1397704,Both,Croatia
Cases,60,1056240,Both,Croatia
Cases,65,786408,Both,Croatia
Cases,70,583227,Both,Croatia
Cases,75,428594,Both,Croatia
Cases,80,350497,Both,Croatia
Cases,85,263302,Both,Croatia
Cases,90,217188,Both,Croatia
Deaths,0,894,Both,Croatia
Deaths,5,311,Both,Croatia
Deaths,10,428,Both,Croatia
Deaths,15,767,Both,Croatia
Deaths,20,1993,Both,Croatia
Deaths,25,3347,Both,Croatia
Deaths,30,5881,Both,Croatia
Deaths,35,9267,Both,Croatia
Deaths,40,14842,Both,Croatia
Deaths,45,24111,Both,Croatia
Deaths,50,34251,Both,Croatia
Deaths,55,46765,Both,Croatia
Deaths,60,57322,Both,Croatia
Deaths,65,64455,Both,Croatia
Deaths,70,66925,Both,Croatia
Deaths,75,64368,Both,Croatia
Deaths,80,63890,Both,Croatia
Deaths,85,56288,Both,Croatia
Deaths,90,63669,Both,Croatia
Cases,0,304978,Both,Cyprus
Cases,5,392894,Both,Cyprus
Cases,10,568184,Both,Cyprus
Cases,15,902741,Both,Cyprus
Cases,20,1611978,Both,Cyprus
Cases,25,2103937,Both,Cyprus
Cases,30,2104966,Both,Cyprus
Cases,35,1970078,Both,Cyprus
Cases,40,1834677,Both,Cyprus
Cases,45,1744550,Both,Cyprus
Cases,50,1601880,Both,Cyprus
Cases,55,1397704,Both,Cyprus
Cases,60,1056240,Both,Cyprus
Cases,65,786408,Both,Cyprus
